source_file,image,verdict,winner,advantage_score,confidence,corrected_verdict,corrected_winner,corrected_advantage,corrected_confidence,weighted_score,random_forest,xgboost,svm,statistical,method_consistency,feature_agreement,prediction_strength,feature_quality
df06_summary,df06,Face 1 (Left) is more authentic,Face 1,0.2327,34.5401,Face 1 (Left) is more authentic,Face 1,0.0770,58.4927,0.1197,-0.1400,0.0000,0.0483,0.2048,-0.0396,0.2500,0.0256,0.2000
df51_summary,df51,Face 2 (Right) is more authentic,Face 2,0.2765,32.8024,Face 2 (Right) is more authentic,Face 2,0.0242,33.5777,-0.0451,-0.1400,0.0000,0.0483,-0.1397,-0.0019,0.2115,0.0187,0.2000
df16_summary,df16,Face 2 (Right) is more authentic,Face 2,0.3185,30.1444,Face 2 (Right) is more authentic,Face 2,0.1514,40.8344,-0.1466,-0.1400,0.0000,0.0483,-0.0802,0.0221,0.1731,0.0207,0.2000
df38_summary,df38,Face 2 (Right) is more authentic,Face 2,0.5490,29.2744,Face 2 (Right) is more authentic,Face 2,0.0564,48.0029,-0.3391,-0.1400,0.0000,0.0483,-0.1182,-0.0128,0.1923,0.0323,0.2000
df10_summary,df10,Face 2 (Right) is more authentic,Face 2,0.3898,28.6612,Face 2 (Right) is more authentic,Face 2,0.2542,44.2253,-0.2115,-0.1400,0.0000,0.0483,-0.0865,0.0114,0.1731,0.0243,0.2000
df14_summary,df14,Face 1 (Left) is more authentic,Face 1,0.1445,25.7626,Face 1 (Left) is more authentic,Face 1,0.0546,52.5197,0.0651,-0.1400,0.0000,0.0483,0.1711,-0.0578,0.2308,0.0212,0.2000
df12_summary,df12,Face 1 (Left) is more authentic,Face 1,0.1533,25.5360,Face 1 (Left) is more authentic,Face 1,0.0343,50.7331,0.0432,-0.1400,0.0000,0.0483,0.2018,-0.0787,0.2500,0.0217,0.2000
df39_summary,df39,Face 2 (Right) is more authentic,Face 2,0.2433,24.6239,Face 2 (Right) is more authentic,Face 2,0.0045,27.5557,-0.0119,-0.1400,0.0000,0.0483,-0.1397,-0.0404,0.2115,0.0170,0.2000
df01_summary,df01,Face 1 (Left) is more authentic,Face 1,0.1820,22.7577,Face 1 (Left) is more authentic,Face 1,0.0613,58.6181,0.1623,-0.1400,0.0000,0.0483,0.1115,-0.0376,0.1923,0.0231,0.2000
df20_summary,df20,Face 1 (Left) is more authentic,Face 1,0.1043,19.4420,Face 1 (Left) is more authentic,Face 1,0.0380,52.2622,0.0403,-0.1400,0.0000,0.0483,0.1557,-0.0729,0.2115,0.0192,0.2000
